Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT1","SW_SPST","SW_SPST_TL3342",157.355000,-128.325000,180.000000,bottom
"C1","100nF","C_0402_1005Metric",75.591577,-98.357894,180.000000,bottom
"C2","10uF","C_0603_1608Metric",77.652500,-66.697500,0.000000,bottom
"C3","100nF","C_0402_1005Metric",74.530000,-89.550000,180.000000,bottom
"C4","100nF","C_0402_1005Metric",83.280000,-89.300000,-90.000000,bottom
"C5","100nF","C_0402_1005Metric",74.280000,-80.800000,90.000000,bottom
"C6","100nF","C_0402_1005Metric",74.780000,-79.300000,180.000000,bottom
"C7","100nF","C_0402_1005Metric",75.591577,-97.107894,0.000000,bottom
"C8","100nF","C_0402_1005Metric",71.126875,-56.846250,90.000000,bottom
"C9","1uF","C_0402_1005Metric",73.652500,-62.947500,90.000000,bottom
"C10","1uF","C_0402_1005Metric",74.902500,-66.447500,180.000000,bottom
"C11","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",92.055000,-59.957500,-90.000000,bottom
"C12","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",133.455000,-60.025000,-90.000000,bottom
"C13","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",174.355000,-59.925000,-90.000000,bottom
"C14","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",215.955000,-59.925000,-90.000000,bottom
"C15","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",257.055000,-59.825000,-90.000000,bottom
"C16","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",298.255000,-59.925000,-90.000000,bottom
"C17","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",339.355000,-59.825000,-90.000000,bottom
"C18","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",93.086250,-116.521875,90.000000,bottom
"C19","0.1 uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",117.692500,-116.521875,90.000000,bottom
