Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,157.355,-128.325,0.0,bottom
C1,75.591577,-98.357894,0.0,bottom
C10,74.9025,-66.4475,0.0,bottom
C11,92.055,-59.9575,270.0,bottom
C12,133.455,-60.025,270.0,bottom
C13,174.355,-59.925,270.0,bottom
C14,215.955,-59.925,270.0,bottom
C15,257.055,-59.825,270.0,bottom
C16,298.255,-59.925,270.0,bottom
C17,339.355,-59.825,270.0,bottom
C18,93.08625,-116.521875,90.0,bottom
C19,117.6925,-116.521875,90.0,bottom
C2,77.6525,-66.6975,180.0,bottom
C20,176.43,-115.728125,90.0,bottom
C21,224.055,-115.728125,90.0,bottom
C22,262.155,-115.728125,90.0,bottom
C23,298.255,-117.825,270.0,bottom
C24,330.655,-115.425,180.0,bottom
C25,74.955,-60.825,0.0,bottom
C26,82.355,-62.225,180.0,bottom
C3,74.53,-89.55,0.0,bottom
C4,83.28,-89.3,270.0,bottom
C5,74.28,-80.8,90.0,bottom
C6,74.78,-79.3,0.0,bottom
C7,75.591577,-97.107894,180.0,bottom
C8,71.126875,-56.84625,90.0,bottom
C9,73.6525,-62.9475,90.0,bottom
D1,55.78,-53.41875,270.0,bottom
D10,233.58,-53.41875,90.0,bottom
D11,252.63,-53.41875,90.0,bottom
D12,271.68,-53.41875,90.0,bottom
D13,290.73,-53.41875,90.0,bottom
D14,319.305,-53.41875,90.0,bottom
D15,66.8925,-72.46875,90.0,bottom
D16,90.705,-72.46875,90.0,bottom
D17,109.755,-72.46875,90.0,bottom
D18,128.805,-72.46875,90.0,bottom
D19,147.855,-72.46875,90.0,bottom
D2,74.83,-53.41875,270.0,bottom
D20,166.905,-72.46875,90.0,bottom
D21,185.955,-72.46875,90.0,bottom
D22,205.005,-72.46875,90.0,bottom
D23,224.055,-72.46875,90.0,bottom
D24,243.105,-72.46875,90.0,bottom
D25,262.155,-72.46875,90.0,bottom
D26,281.205,-72.46875,90.0,bottom
D27,300.255,-72.46875,90.0,bottom
D28,324.0675,-72.46875,90.0,bottom
D29,347.88,-72.46875,90.0,bottom
D3,100.23,-53.41875,90.0,bottom
D30,69.27375,-91.51875,90.0,bottom
D31,95.4675,-91.51875,90.0,bottom
D32,114.5175,-91.51875,90.0,bottom
D33,133.5675,-91.51875,90.0,bottom
D34,152.6175,-91.51875,90.0,bottom
D35,171.6675,-91.51875,90.0,bottom
D36,190.7175,-91.51875,90.0,bottom
D37,209.7675,-91.51875,90.0,bottom
D38,228.8175,-91.51875,90.0,bottom
D39,247.8675,-91.51875,90.0,bottom
D4,119.28,-53.41875,90.0,bottom
D40,266.9175,-91.51875,90.0,bottom
D41,285.9675,-91.51875,90.0,bottom
D42,316.92375,-91.51875,90.0,bottom
D43,347.88,-91.51875,90.0,bottom
D44,74.03625,-110.56875,90.0,bottom
D45,104.9925,-110.56875,90.0,bottom
D46,124.0425,-110.56875,90.0,bottom
D47,143.0925,-110.56875,90.0,bottom
D48,162.1425,-110.56875,90.0,bottom
D49,181.1925,-110.56875,90.0,bottom
D5,138.33,-53.41875,90.0,bottom
D50,200.2425,-110.56875,90.0,bottom
D51,219.2925,-110.56875,90.0,bottom
D52,238.3425,-110.56875,90.0,bottom
D53,257.3925,-110.56875,90.0,bottom
D54,276.4425,-110.56875,90.0,bottom
D55,302.63625,-110.56875,90.0,bottom
D56,328.83,-110.56875,90.0,bottom
D57,347.88,-110.56875,90.0,bottom
D58,64.51125,-129.61875,90.0,bottom
D59,88.32375,-129.61875,90.0,bottom
D6,157.38,-53.41875,90.0,bottom
D60,112.13625,-129.61875,90.0,bottom
D61,183.57375,-129.61875,90.0,bottom
D62,259.655,-132.575,90.0,bottom
D63,272.255,-132.575,90.0,bottom
D64,290.73,-129.61875,90.0,bottom
D65,309.78,-129.61875,90.0,bottom
D66,328.83,-129.61875,90.0,bottom
D67,347.88,-129.61875,90.0,bottom
D68,348.67375,-56.196875,180.0,bottom
D69,87.53,-60.959375,0.0,bottom
D7,176.43,-53.41875,90.0,bottom
D70,128.791458,-60.959375,0.0,bottom
D71,170.052916,-60.959375,0.0,bottom
D72,211.314374,-60.959375,0.0,bottom
D73,252.575832,-60.959375,0.0,bottom
D74,293.83729,-60.959375,0.0,bottom
D75,335.09875,-60.959375,0.0,bottom
D76,88.720625,-118.903125,0.0,bottom
D77,122.38625,-118.903125,0.0,bottom
D78,170.87375,-118.903125,0.0,bottom
D79,213.6675,-118.903125,0.0,bottom
D8,195.48,-53.41875,90.0,bottom
D80,255.805,-118.903125,0.0,bottom
D81,293.83729,-118.903125,0.0,bottom
D82,327.639375,-118.903125,0.0,bottom
D9,214.53,-53.41875,90.0,bottom
F1,68.126875,-57.84625,180.0,bottom
J1,68.075,-47.09625,0.0,bottom
R1,71.155,-54.925,0.0,bottom
R2,70.855,-51.625,180.0,bottom
R3,83.455,-95.325,0.0,bottom
R4,83.455,-97.625,180.0,bottom
R7,335.576875,-66.11875,180.0,bottom
R8,335.555,-68.925,180.0,bottom
RST1,144.155,-128.425,180.0,bottom
SW2,344.705,-52.915,0.0,top
U1,78.78,-85.05,90.0,bottom
U2,68.126875,-53.59625,90.0,bottom
U3,76.4025,-63.9475,180.0,bottom
U4,80.38625,-60.165625,0.0,bottom
